tags,ave_area,x_min,median_aspect_ratio,max_aspect_ratio,publish_time,title,PWN,orientable,num_geometric_degenerated_faces,max_dihedral_angle,category,p25_aspect_ratio,num_complanar_intersecting_faces,total_area,ave_dihedral_angle,num_connected_components,p95_dihedral_angle,vertex_manifold,median_valance,license,max_valance,median_dihedral_angle,num_vertices,min_valance,stl_file,min_aspect_ratio,euler_characteristic,z_max,num_boundary_edges,x_max,thing_id,num_combinatorial_degenerated_faces,y_min,p25_area,p25_dihedral_angle,p75_aspect_ratio,p95_aspect_ratio,p90_area,edge_manifold,y_max,p90_aspect_ratio,subcategory,p75_valance,min_dihedral_angle,num_duplicated_faces,link,p25_valance,max_area,min_area,p95_area,solid,p90_valance,z_min,ave_valance,ave_aspect_ratio,p75_dihedral_angle,num_self_intersections,author,num_faces,p75_area,median_area,img_file,p90_dihedral_angle,json_file,p95_valance
"['board', 'chess', 'dragon', 'fantasy', 'fire', 'game', 'game_of_thrones', 'Ice', 'Ill_Gotten_Games', 'medieval', 'RPG', 'strategy', 'tabletop', 'thrones', 'toy']",0.300465,6.625500202178955,1.38106,21692.5,2013-05-22T08:11:18,George R. R. Martin&#039;s Cyvasse (unofficial game) ,1,1,,3.03766,toys-and-games,1.16478,,14886.2,0.287282,2,1.52977,1,6.0,Creative Commons - Attribution - Share Alike,92.0,0.167713,24776,3.0,203218.stl,1.00003,4,2.000999927520752,,23.57295036315918,92172,,-25.0,0.0840677,0.0642801,1.94942,7.36614,0.393015,1,-25.0,3.54349,games,7.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/81/7f/2a/b2/09/screen_braces.stl,5.0,454.074,1.35926e-05,0.558335,1,8.0,,5.99903,6.69547,0.322779,,dutchmogul,49544,0.235736,0.144391,203218.png,0.644064,203218.json,9.0
"['Action_Figure', 'anime', 'ModioChallenge', 'sword', 'toy', 'weapon']",6.37928,-24.280542373657227,2.00973,136552.0,2014-10-09T03:45:48,Omnis Terra ,1,1,,2.71087,toys-and-games,1.30895,,7412.72,0.510366,1,1.95118,1,6.0,Creative Commons - Attribution - Non-Commercial,17.0,0.0380866,579,3.0,841122.stl,1.00738,-2,12.996999740600586,,-23.863000869750977,492429,,15.31569766998291,0.922158,,6.87722,115.794,12.1874,1,15.992728233337402,20.1735,construction-toys,7.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/e5/5c/34/2c/f1/shield_2of2_white.stl,5.0,77.7908,6.47659e-05,23.2445,1,8.0,12.496000289916992,6.02073,220.893,1.5708,,SIMPAD17,1162,9.54632,3.31219,841122.png,1.5708,841122.json,10.0
"['hex', 'screw', 'star', 'toy']",0.0362582,25.600000381469727,2.61013,24653.0,2013-05-17T10:57:11,SCREW TOY ,1,1,,2.96848,toys-and-games,1.52266,,1377.01,0.0713097,1,0.23184,1,6.0,Attribution - Non-Commercial - No Derivatives,36.0,0.0339867,18991,3.0,200081.stl,1.00001,2,19.60955047607422,,26.145503997802734,90302,,-52.45798110961914,0.0054298,0.00632413,3.27894,6.21657,0.067274,1,-52.42879867553711,4.99336,,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/68/8d/23/65/68/SCREW_STAR_Small.stl,5.0,3.7915,1.73071e-07,0.111056,1,7.0,19.49736213684082,5.99937,4.10365,0.0969623,,hiroaki_nishimura,37978,0.0334963,0.0100034,200081.png,0.195514,200081.json,8.0
"['4-8-8-4', 'Locomotive', 'railroad', 'scale_model', 'Steam_Locomotive', 'steam_train', 'Union_Pacific']",0.919548,2.908172369003296,10.7536,624.637,2014-02-27T19:59:32,4-8-8-4 Big Boy Locomotive ,1,1,,1.57089,models,2.88114,,891.962,0.538713,1,1.5708,1,6.0,Creative Commons - Attribution,56.0,0.0376985,487,4.0,472016.stl,1.36603,2,4.233330726623535,,3.7931389808654785,259005,,3.408315896987915,0.112712,,35.4212,38.9087,1.83972,1,4.024820327758789,35.4213,vehicles,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/93/36/bc/ef/bc/CrossHead_Pin.STL,5.0,39.1237,0.00115258,1.83972,1,6.0,4.233330726623535,5.97536,21.0401,1.5708,,MakerBot,970,1.83971,0.427284,472016.png,1.5708,472016.json,7.0
"['balloon', 'whistle_goes_wooo_WOOOO']",2.61645,-18.53553009033203,2.35264,1425660000000.0,2013-02-06T07:40:02,Balloon Powered Turbine ,1,1,1,3.14159,toys-and-games,1.28538,9,10178.0,0.365935,1,1.5708,1,6.0,Creative Commons - Attribution - Share Alike,26.0,0.0537152,1943,3.0,128336.stl,1.00885,-2,13.82030963897705,,-17.777849197387695,47565,,10.456009864807129,0.239914,2.38308e-06,6.30055,98.0054,5.1724,1,11.379240036010742,23.7522,mechanical-toys,7.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/1d/ca/8d/0d/b2/turbinehousing_repaired.stl,5.0,77.3212,,12.1542,,8.0,12.949769973754883,6.00618,885363000.0,0.585467,34,petropixel,3890,1.50674,0.502881,128336.png,1.57079,128336.json,8.0
"['gyroscope', 'walking_toy']",0.497518,14.336814880371094,5.3225,1786.58,2015-04-11T01:58:30,Gyroman ,1,1,,2.5571,toys-and-games,5.3002,,5029.91,0.157866,1,1.50444,1,6.0,Creative Commons - Attribution - Share Alike,10.0,0.0278865,5055,4.0,1228198.stl,1.19288,,,,15.984883308410645,766501,,2.670837640762329,0.0407965,1.66326e-05,5.36588,10.9992,0.280707,1,3.4746546745300293,5.43025,mechanical-toys,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/d7/bf/2f/94/a7/foot.STL,6.0,20.652,0.000330387,1.14178,1,6.0,,6.0,8.56391,0.11364,,LoboCNC,10110,0.0415431,0.0410702,1228198.png,0.113678,1228198.json,7.0
"['3D', 'prototype', 'typeface']",0.535384,19.239837646484375,7.84764,8294990.0,2014-06-18T22:33:48,Next Level Sheet: 3d Printable Typeface ,1,1,,2.22485,art,4.25698,,10159.4,0.219605,1,1.90121,1,6.0,Creative Commons - Attribution - Share Alike,47.0,0.0110918,9490,3.0,636796.stl,1.01362,2,27.04840087890625,,22.785552978515625,367262,,31.992237091064453,0.0852861,0.000384581,15.0939,54.0702,1.3737,1,32.001529693603516,29.9991,signs-and-logos,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/bf/fd/ad/e6/00/G.stl,5.0,37.8193,1.16775e-05,1.89885,1,7.0,20.452848434448242,5.99874,1578.13,0.0322156,,9999NYC,18976,0.655012,0.278083,636796.png,1.17398,636796.json,8.0
"['clock', 'escapement', 'Gear', 'handle', 'mechanical', 'Planetary_Gear', 'printable', 'pulley', 'screw', 'spring', 'winding']",1.22851,-1.113328218460083,2.71589,31.6807,2014-05-12T07:11:15,3D printed mechanical Clock with Anchor Escapement ,1,1,,1.5708,3d-printing,1.42989,,1380.85,0.481019,1,1.5708,1,6.0,Creative Commons - Attribution - Share Alike,9.0,5.55112e-17,560,4.0,591221.stl,1.14245,-2,-21.0,,-0.30985382199287415,328569,,0.9536157250404358,0.380938,,4.40657,31.3345,1.52772,1,3.524017095565796,12.7266,,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/7a/c5/61/f6/59/Clock_Face_Hand_Second.stl,6.0,40.3097,0.0262368,2.54683,1,6.0,-21.0,6.02143,5.09389,1.5708,,TheGoofy,1124,0.783965,0.588001,591221.png,1.5708,591221.json,6.0
"['cryptex', 'LulzBot', 'puzzel', 'puzzle', 'toy']",2.50137,-9.946840286254883,5.79806,120555.0,2012-12-08T12:09:54,Mini Programable Cryptex ,1,1,,1.60023,toys-and-games,5.46956,,1730.95,0.557862,1,1.5708,1,5.0,Creative Commons - Attribution - Share Alike,19.0,0.0253952,346,3.0,105692.stl,1.05981,,,,-2.3931565284729004,37084,,9.709418296813965,0.226011,,23.5888,93.6011,2.84154,1,12.136773109436035,40.8624,puzzles,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/77/f4/fb/90/5a/mini_spacer_ring.stl,5.0,33.1873,0.000414213,17.926,1,7.0,,6.0,479.963,1.5708,,richards,692,1.73507,1.39391,105692.png,1.5708,105692.json,12.0
"['architecture', 'Cathedral', 'design_week', 'duomo', 'makerbot', 'milan', 'milano', 'sketchup', 'wefab', 'wilcox']",5.81026,7.292175769805908,4.17596,11516.1,2012-04-19T05:41:04,Duomo di Milano ,,,20,3.14159,models,1.82688,1067,22113.9,0.778803,30,1.68464,,6.0,Creative Commons - Attribution - Share Alike,56.0,0.260451,1851,2.0,67050.stl,1.00346,127,12.433730125427246,56,7.973291873931885,21637,,29.363420486450195,0.144668,,11.8157,48.9815,13.671,,30.325180053710938,32.3339,buildings-and-structures,6.0,,11,https://thingiverse-production-new.s3.amazonaws.com/assets/e3/e6/14/15/09/duomo.stl,5.0,218.736,,21.8736,,8.0,12.300849914550781,5.97515,63.7392,1.5708,6452,WeFab,3806,5.48533,0.926638,67050.png,1.5708,67050.json,9.0
"['atom', 'bohr', 'chemistry', 'customizer', 'electron', 'electron_configuration', 'gimbal', 'periodic_table', 'physics']",0.301121,-17.0,1.30545,528050000000000.0,2013-07-08T14:53:23,Customizable Atom Deluxe (every element preconfigured) ,1,1,,3.14159,learning,1.21232,6,34023.1,0.128905,6,1.43627,1,6.0,Creative Commons - Attribution,139.0,0.0644775,56478,3.0,331778.stl,1.00105,-16,3.0,,-16.863399505615234,114247,,-1.5238699913024902,0.00762286,0.000286287,2.55495,19.8993,0.430741,1,,11.4548,physics-and-astronomy,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/cb/18/7c/f8/d1/038_-_Sr_-_Strontium.stl,6.0,53.3487,8.34318e-17,1.17753,,6.0,1.4761300086975098,6.0017,24368100000.0,0.0897154,18,roman_hegglin,112988,0.0158457,0.0130232,331778.png,0.0899463,331778.json,6.0
"['beach', 'bucket', 'grovel', 'holiday', 'kids', 'mold', 'pail', 'park', 'play', 'playset', 'Play_Set', 'rake', 'Sandbox', 'sandcastle', 'sand_sculpture', 'scoop', 'sea', 'shovel', 'sieve', 'sifter', 'strainer', 'Summer', 'toy', 'toys', 'vacation']",1.46935,129.63900756835938,2.4905,8035030.0,2015-07-03T09:12:50,3D-printable sand play set ,1,1,5,3.14159,toys-and-games,1.44292,23,22416.5,0.408652,1,1.5708,1,6.0,Creative Commons - Attribution - Share Alike,40.0,0.0214649,7628,3.0,1436276.stl,1.00179,,9.789999961853027,,130.02000427246094,909118,,9.833999633789062,0.00649708,,5.921,130.753,1.06101,1,9.958999633789062,25.8539,playsets,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/7f/4a/2b/2e/43/3D-printable_sand_play_set_Rake_By_CT3D.xyz_.stl,5.0,442.27,,4.5,,7.0,8.942000389099121,6.0,2466.71,0.419125,60,CreativeTools,15256,0.253258,0.0398746,1436276.png,1.5708,1436276.json,9.0
"['futur', 'makerbot', 'moto']",0.639663,47.5063591003418,2.10658,3464.29,2013-01-09T21:10:23,croco-bike 2040 ,1,1,,2.50783,models,1.2943,,173.988,0.553895,1,1.94822,1,6.0,Creative Commons - Attribution - Share Alike,9.0,0.186655,138,3.0,116070.stl,1.00581,2,78.4899673461914,,47.72385025024414,41206,,-84.49883270263672,0.193069,2.31091e-05,3.54239,11.5938,1.6689,1,-83.44281768798828,5.2679,vehicles,6.0,2.0919e-14,,https://thingiverse-production-new.s3.amazonaws.com/assets/d4/19/bf/f9/62/embout.stl,5.0,1.7072,0.00529014,1.66892,1,7.0,77.77925872802734,5.91304,21.0423,1.55789,,Gab_9,272,0.989397,0.373762,116070.png,1.57081,116070.json,8.0
"['3D', 'CNC_Machine', 'featured', 'reprap']",14.9343,,4.34328,1105280.0,2011-12-16T08:23:38,Part-Y ,1,1,,1.5708,3d-printing,2.31501,,8363.19,0.590919,1,1.5708,1,5.0,Creative Commons - Attribution - Share Alike,33.0,,268,3.0,48416.stl,1.05849,-12,11.0,,,14682,,,3.24468,,18.059,96.923,27.1935,1,44.0,45.5021,3d-printers,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/e4/38/51/01/09/x_motor_bracket.stl,5.0,352.824,0.00807467,51.2431,1,7.0,,6.26866,4112.45,1.5708,,joaedl,560,13.7978,3.47644,48416.png,1.5708,48416.json,11.0
"['android', 'arduino', 'autonomous', 'battery', 'biped', 'Lipo', 'PrintBot', 'printed', 'Programmable', 'robot', 'tablet', 'Walker']",29.5482,-33.562400817871094,2.53019,17504900.0,2012-10-22T11:13:33,ROFI bipedal robot ,,,,3.14159,hobby,1.37959,,8923.55,0.683105,1,1.5708,,7.0,Creative Commons - Attribution - Non-Commercial,16.0,,129,4.0,103081.stl,1.02247,-22,6.24087381362915,,-14.223999977111816,32048,,-25.072519302368164,4.93545,,5.8731,3767760.0,70.7684,1,-25.07090950012207,684.855,robotics,8.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/0e/2c/2c/84/df/body_strut_v3.stl,6.0,208.142,0.00245364,137.16,,9.0,3.1928770542144775,7.02326,502819.0,1.5708,,jdow,302,33.9581,14.5161,103081.png,1.5708,103081.json,10.0
"['mold', 'molds', 'snow', 'snowman', 'snowmen', 'snow_mold']",4.85106,171.0,1.26832,21317100.0,2015-02-10T13:16:17,Snowman maker (add two ball snowman) ,1,1,,2.09459,models,1.21049,,218075.0,0.14045,1,1.5708,1,6.0,Creative Commons - Attribution - Share Alike,133.0,0.0287987,22469,3.0,1097847.stl,1.00171,-8,5.000002861022949,,185.0,675620,,,1.62205,2.45644e-06,8.00362,172.146,8.78119,1,0.008530914783477783,72.3267,props,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/f5/92/24/ba/0d/two_ball_snowman_female.STL,6.0,14839.2,0.000160716,8.84877,1,6.0,5.000002861022949,6.00214,1095.78,0.0348069,,CloudJ,44954,3.34519,2.23596,1097847.png,0.0349949,1097847.json,6.0
"['Castle', 'construction_kit', 'LEGO', 'openscad', 'toy']",4.80369,-32.0,4.14034,164759.0,2012-09-27T13:25:29,Modular castle kit - Lego compatible ,,,,3.14159,toys-and-games,2.07664,747,47883.2,0.603997,25,1.5708,,5.0,Attribution - Non-Commercial - Share Alike,37.0,0.203616,5022,3.0,91284.stl,1.01127,38,60.798004150390625,,-16.0,31284,,,0.447223,,7.4381,48.5327,1.76751,1,15.998001098632812,22.9894,construction-toys,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/dd/ce/b4/77/cc/castle-tower_floor_legobase.stl,5.0,409.6,0.00518624,6.7574,,7.0,35.198001861572266,5.9546,161.496,1.5708,2612,danielkschneider,9968,1.1676,0.448837,91284.png,1.5708,91284.json,9.0
"['box', 'container', 'gift', 'Heart', 'puzzle', 'valentine', 'wedding']",1.09964,-33.8494987487793,1.43774,9891050.0,2012-10-21T14:46:10,Hollow impossible heart ,1,1,,3.14159,toys-and-games,1.27901,3,11528.6,0.145513,1,1.44002,1,6.0,Attribution - Non-Commercial - Share Alike,211.0,0.0191995,5244,3.0,94669.stl,1.0004,2,0.5660629868507385,,-33.52349853515625,32053,,1.073259949684143,0.292947,0.0054207,1.66718,162.964,1.46721,1,1.4497100114822388,27.1012,puzzles,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/5a/08/9a/ba/03/impossible_hollow_ww_3.stl,6.0,549.835,8.33906e-09,1.93255,,7.0,0.125,5.99771,2228.92,0.0494539,6,mowi,10484,0.886415,0.48349,94669.png,0.100206,94669.json,7.0
"['animals', 'dining', 'elephant', 'fun', 'household', 'napkin_ring', 'useful', 'vintage']",7.77889,41.635250091552734,6.28341,7516.56,2012-09-28T00:08:09,Zookins - Animal Napkin Rings ,,,,2.39988,household,3.69978,,9007.95,0.558499,1,1.5708,,6.0,Creative Commons - Attribution - Share Alike,21.0,1.00747e-15,578,2.0,91207.stl,1.11323,-2,10.0,3,41.6898193359375,31313,,-13.522040367126465,1.99771,,17.5158,173.214,17.7762,,-13.31326961517334,71.7392,kitchen-and-dining,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/5a/3d/5a/9f/58/zookins-turtle.stl,5.0,94.5001,0.00469916,23.4947,,7.0,1.1198799943172436e-16,6.01384,55.6837,1.5708,,gwygonik,1158,8.86703,5.04549,91207.png,1.5708,91207.json,8.0
"['engine', 'jet', 'makerbot', 'model', 'PLA', 'printoberMB', 'replicator', 'robot', 'rocket', 'sci_fi', 'space', 'Space_Engine', 'supportless', 'toy']",0.0205572,6.826316833496094,1.34223,112.214,2012-10-31T22:19:53,Rocket Engine Power ! ,1,1,,1.5708,hobby,1.22386,,580.535,0.0865373,8,0.154085,1,6.0,Creative Commons - Attribution,82.0,0.0509212,14136,4.0,96775.stl,1.01429,16,1.5,,6.83970308303833,33509,,1.0307650566101074,0.00665609,7.82431e-06,2.2095,6.84974,0.0564668,1,1.2306959629058838,4.04517,robotics,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/21/b7/8d/26/f7/Bolt_Cap_Set_.STL,6.0,0.300233,0.000514504,0.121812,1,6.0,,5.99321,2.50751,0.076472,,naveod,28240,0.0141374,0.0112053,96775.png,0.0765429,96775.json,7.0
