category,dataset,model,binvox,dimension,x_rotations,z_rotations
bathtub,test,bathtub_0125.off,bathtub_0125_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0125.off,bathtub_0125_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0125.off,bathtub_0125_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0125.off,bathtub_0125_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0125.off,bathtub_0125_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0125.off,bathtub_0125_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0125.off,bathtub_0125_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0109.off,bathtub_0109_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0109.off,bathtub_0109_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0109.off,bathtub_0109_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0109.off,bathtub_0109_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0109.off,bathtub_0109_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0109.off,bathtub_0109_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0109.off,bathtub_0109_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0109.off,bathtub_0109_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0109.off,bathtub_0109_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0109.off,bathtub_0109_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0109.off,bathtub_0109_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0109.off,bathtub_0109_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0109.off,bathtub_0109_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0109.off,bathtub_0109_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0109.off,bathtub_0109_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0109.off,bathtub_0109_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0122.off,bathtub_0122_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0122.off,bathtub_0122_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0122.off,bathtub_0122_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0122.off,bathtub_0122_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0122.off,bathtub_0122_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0122.off,bathtub_0122_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0122.off,bathtub_0122_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0122.off,bathtub_0122_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0122.off,bathtub_0122_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0122.off,bathtub_0122_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0122.off,bathtub_0122_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0122.off,bathtub_0122_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0122.off,bathtub_0122_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0122.off,bathtub_0122_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0122.off,bathtub_0122_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0122.off,bathtub_0122_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0117.off,bathtub_0117_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0117.off,bathtub_0117_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0117.off,bathtub_0117_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0117.off,bathtub_0117_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0117.off,bathtub_0117_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0117.off,bathtub_0117_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0117.off,bathtub_0117_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0117.off,bathtub_0117_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0117.off,bathtub_0117_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0117.off,bathtub_0117_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0117.off,bathtub_0117_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0117.off,bathtub_0117_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0117.off,bathtub_0117_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0117.off,bathtub_0117_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0117.off,bathtub_0117_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0117.off,bathtub_0117_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0115.off,bathtub_0115_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0115.off,bathtub_0115_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0115.off,bathtub_0115_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0115.off,bathtub_0115_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0115.off,bathtub_0115_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0115.off,bathtub_0115_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0115.off,bathtub_0115_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0115.off,bathtub_0115_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0115.off,bathtub_0115_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0115.off,bathtub_0115_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0115.off,bathtub_0115_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0115.off,bathtub_0115_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0115.off,bathtub_0115_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0115.off,bathtub_0115_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0115.off,bathtub_0115_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0115.off,bathtub_0115_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0129.off,bathtub_0129_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0129.off,bathtub_0129_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0129.off,bathtub_0129_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0129.off,bathtub_0129_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0129.off,bathtub_0129_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0129.off,bathtub_0129_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0129.off,bathtub_0129_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0129.off,bathtub_0129_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0129.off,bathtub_0129_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0129.off,bathtub_0129_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0129.off,bathtub_0129_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0129.off,bathtub_0129_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0129.off,bathtub_0129_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0129.off,bathtub_0129_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0129.off,bathtub_0129_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0129.off,bathtub_0129_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0123.off,bathtub_0123_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0123.off,bathtub_0123_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0123.off,bathtub_0123_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0123.off,bathtub_0123_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0123.off,bathtub_0123_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0123.off,bathtub_0123_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0123.off,bathtub_0123_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0123.off,bathtub_0123_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0123.off,bathtub_0123_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0123.off,bathtub_0123_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0123.off,bathtub_0123_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0123.off,bathtub_0123_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0123.off,bathtub_0123_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0123.off,bathtub_0123_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0123.off,bathtub_0123_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0123.off,bathtub_0123_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0153.off,bathtub_0153_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0153.off,bathtub_0153_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0153.off,bathtub_0153_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0153.off,bathtub_0153_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0153.off,bathtub_0153_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0153.off,bathtub_0153_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0153.off,bathtub_0153_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0153.off,bathtub_0153_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0153.off,bathtub_0153_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0153.off,bathtub_0153_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0153.off,bathtub_0153_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0153.off,bathtub_0153_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0153.off,bathtub_0153_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0153.off,bathtub_0153_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0153.off,bathtub_0153_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0153.off,bathtub_0153_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0143.off,bathtub_0143_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0143.off,bathtub_0143_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0143.off,bathtub_0143_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0143.off,bathtub_0143_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0143.off,bathtub_0143_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0143.off,bathtub_0143_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0143.off,bathtub_0143_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0143.off,bathtub_0143_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0143.off,bathtub_0143_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0143.off,bathtub_0143_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0143.off,bathtub_0143_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0143.off,bathtub_0143_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0143.off,bathtub_0143_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0143.off,bathtub_0143_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0143.off,bathtub_0143_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0143.off,bathtub_0143_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0142.off,bathtub_0142_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0142.off,bathtub_0142_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0142.off,bathtub_0142_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0142.off,bathtub_0142_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0142.off,bathtub_0142_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0142.off,bathtub_0142_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0142.off,bathtub_0142_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0142.off,bathtub_0142_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0142.off,bathtub_0142_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0142.off,bathtub_0142_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0142.off,bathtub_0142_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0142.off,bathtub_0142_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0142.off,bathtub_0142_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0142.off,bathtub_0142_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0142.off,bathtub_0142_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0142.off,bathtub_0142_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0144.off,bathtub_0144_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0144.off,bathtub_0144_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0144.off,bathtub_0144_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0144.off,bathtub_0144_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0144.off,bathtub_0144_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0144.off,bathtub_0144_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0144.off,bathtub_0144_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0144.off,bathtub_0144_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0144.off,bathtub_0144_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0144.off,bathtub_0144_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0144.off,bathtub_0144_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0144.off,bathtub_0144_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0144.off,bathtub_0144_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0144.off,bathtub_0144_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0144.off,bathtub_0144_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0144.off,bathtub_0144_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0135.off,bathtub_0135_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0135.off,bathtub_0135_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0135.off,bathtub_0135_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0135.off,bathtub_0135_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0135.off,bathtub_0135_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0135.off,bathtub_0135_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0135.off,bathtub_0135_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0135.off,bathtub_0135_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0135.off,bathtub_0135_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0135.off,bathtub_0135_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0135.off,bathtub_0135_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0135.off,bathtub_0135_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0135.off,bathtub_0135_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0135.off,bathtub_0135_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0135.off,bathtub_0135_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0135.off,bathtub_0135_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0112.off,bathtub_0112_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0112.off,bathtub_0112_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0112.off,bathtub_0112_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0112.off,bathtub_0112_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0112.off,bathtub_0112_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0112.off,bathtub_0112_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0112.off,bathtub_0112_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0112.off,bathtub_0112_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0112.off,bathtub_0112_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0112.off,bathtub_0112_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0112.off,bathtub_0112_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0112.off,bathtub_0112_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0112.off,bathtub_0112_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0112.off,bathtub_0112_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0112.off,bathtub_0112_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0112.off,bathtub_0112_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0149.off,bathtub_0149_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0149.off,bathtub_0149_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0149.off,bathtub_0149_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0149.off,bathtub_0149_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0149.off,bathtub_0149_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0149.off,bathtub_0149_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0149.off,bathtub_0149_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0149.off,bathtub_0149_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0149.off,bathtub_0149_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0149.off,bathtub_0149_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0149.off,bathtub_0149_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0149.off,bathtub_0149_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0149.off,bathtub_0149_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0149.off,bathtub_0149_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0149.off,bathtub_0149_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0149.off,bathtub_0149_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0118.off,bathtub_0118_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0118.off,bathtub_0118_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0118.off,bathtub_0118_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0118.off,bathtub_0118_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0118.off,bathtub_0118_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0118.off,bathtub_0118_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0118.off,bathtub_0118_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0118.off,bathtub_0118_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0118.off,bathtub_0118_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0118.off,bathtub_0118_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0118.off,bathtub_0118_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0118.off,bathtub_0118_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0118.off,bathtub_0118_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0118.off,bathtub_0118_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0118.off,bathtub_0118_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0118.off,bathtub_0118_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0155.off,bathtub_0155_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0155.off,bathtub_0155_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0155.off,bathtub_0155_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0155.off,bathtub_0155_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0155.off,bathtub_0155_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0155.off,bathtub_0155_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0155.off,bathtub_0155_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0155.off,bathtub_0155_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0155.off,bathtub_0155_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0155.off,bathtub_0155_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0155.off,bathtub_0155_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0155.off,bathtub_0155_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0155.off,bathtub_0155_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0155.off,bathtub_0155_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0155.off,bathtub_0155_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0155.off,bathtub_0155_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0114.off,bathtub_0114_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0114.off,bathtub_0114_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0114.off,bathtub_0114_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0114.off,bathtub_0114_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0114.off,bathtub_0114_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0114.off,bathtub_0114_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0114.off,bathtub_0114_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0114.off,bathtub_0114_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0114.off,bathtub_0114_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0114.off,bathtub_0114_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0114.off,bathtub_0114_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0114.off,bathtub_0114_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0114.off,bathtub_0114_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0114.off,bathtub_0114_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0114.off,bathtub_0114_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0114.off,bathtub_0114_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0131.off,bathtub_0131_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0131.off,bathtub_0131_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0131.off,bathtub_0131_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0131.off,bathtub_0131_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0131.off,bathtub_0131_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0131.off,bathtub_0131_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0131.off,bathtub_0131_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0131.off,bathtub_0131_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0131.off,bathtub_0131_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0131.off,bathtub_0131_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0131.off,bathtub_0131_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0131.off,bathtub_0131_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0131.off,bathtub_0131_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0131.off,bathtub_0131_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0131.off,bathtub_0131_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0131.off,bathtub_0131_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0137.off,bathtub_0137_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0137.off,bathtub_0137_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0137.off,bathtub_0137_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0137.off,bathtub_0137_32_x0_z3.binvox,32,0,3
