category,dataset,model,binvox,dimension,x_rotations,z_rotations,max,min,mean,loss
toilet,test,toilet_0399.off,toilet_0399_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.17620148,0.0042381035
toilet,test,toilet_0428.off,toilet_0428_32_x0_z0.binvox,32,0,0,1.0,0.0,0.16610597,0.0054130424
toilet,test,toilet_0360.off,toilet_0360_32_x0_z0.binvox,32,0,0,0.9999974,0.0,0.23335749,0.0035969568
toilet,test,toilet_0433.off,toilet_0433_32_x0_z0.binvox,32,0,0,0.99998534,0.0,0.15585652,0.007292946
toilet,test,toilet_0384.off,toilet_0384_32_x0_z0.binvox,32,0,0,0.99999774,0.0,0.33718008,0.0035152393
toilet,test,toilet_0393.off,toilet_0393_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.30064923,0.0064692167
toilet,test,toilet_0383.off,toilet_0383_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20791276,0.002311495
toilet,test,toilet_0418.off,toilet_0418_32_x0_z0.binvox,32,0,0,0.9997336,0.0,0.094785474,0.00401495
toilet,test,toilet_0400.off,toilet_0400_32_x0_z0.binvox,32,0,0,1.0,0.0,0.2660292,0.0064191553
toilet,test,toilet_0414.off,toilet_0414_32_x0_z0.binvox,32,0,0,1.0,0.0,0.18683134,0.005103482
toilet,test,toilet_0417.off,toilet_0417_32_x0_z0.binvox,32,0,0,1.0,0.0,0.239885,0.002688281
toilet,test,toilet_0386.off,toilet_0386_32_x0_z0.binvox,32,0,0,1.0,0.0,0.19851407,0.005161184
toilet,test,toilet_0373.off,toilet_0373_32_x0_z0.binvox,32,0,0,0.99999607,0.0,0.24333796,0.006634576
toilet,test,toilet_0440.off,toilet_0440_32_x0_z0.binvox,32,0,0,1.0,0.0,0.1940582,0.007105461
toilet,test,toilet_0392.off,toilet_0392_32_x0_z0.binvox,32,0,0,0.9999981,0.0,0.31345084,0.0062505486
toilet,test,toilet_0423.off,toilet_0423_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.24657445,0.004862893
toilet,test,toilet_0375.off,toilet_0375_32_x0_z0.binvox,32,0,0,0.9999956,0.0,0.26132867,0.020799916
toilet,test,toilet_0354.off,toilet_0354_32_x0_z0.binvox,32,0,0,0.99999666,0.0,0.19214766,0.0020760596
toilet,test,toilet_0369.off,toilet_0369_32_x0_z0.binvox,32,0,0,1.0,0.0,0.1760171,0.0067069745
toilet,test,toilet_0385.off,toilet_0385_32_x0_z0.binvox,32,0,0,1.0,0.0,0.18224359,0.0056371433
toilet,test,toilet_0435.off,toilet_0435_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20766567,0.004753518
toilet,test,toilet_0396.off,toilet_0396_32_x0_z0.binvox,32,0,0,1.0,0.0,0.1895104,0.0057847532
toilet,test,toilet_0390.off,toilet_0390_32_x0_z0.binvox,32,0,0,0.9997373,0.0,0.06769343,0.0026290335
toilet,test,toilet_0410.off,toilet_0410_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21629938,0.003714694
toilet,test,toilet_0416.off,toilet_0416_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21982965,0.005472501
toilet,test,toilet_0362.off,toilet_0362_32_x0_z0.binvox,32,0,0,0.9999963,0.0,0.25964576,0.004377665
toilet,test,toilet_0380.off,toilet_0380_32_x0_z0.binvox,32,0,0,0.999998,0.0,0.26765335,0.005419647
toilet,test,toilet_0352.off,toilet_0352_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21853851,0.00499165
toilet,test,toilet_0443.off,toilet_0443_32_x0_z0.binvox,32,0,0,1.0,0.0,0.1864703,0.0057192235
toilet,test,toilet_0388.off,toilet_0388_32_x0_z0.binvox,32,0,0,1.0,0.0,0.17968307,0.00539298
toilet,test,toilet_0348.off,toilet_0348_32_x0_z0.binvox,32,0,0,0.9999989,0.0,0.27644655,0.005000326
toilet,test,toilet_0367.off,toilet_0367_32_x0_z0.binvox,32,0,0,1.0,0.0,0.1944017,0.005865616
toilet,test,toilet_0377.off,toilet_0377_32_x0_z0.binvox,32,0,0,1.0,0.0,0.18777566,0.0060891956
toilet,test,toilet_0438.off,toilet_0438_32_x0_z0.binvox,32,0,0,1.0,0.0,0.22270565,0.003956478
toilet,test,toilet_0359.off,toilet_0359_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.1558217,0.003955869
toilet,test,toilet_0425.off,toilet_0425_32_x0_z0.binvox,32,0,0,0.9992065,0.0,0.08976178,0.0052304193
toilet,test,toilet_0365.off,toilet_0365_32_x0_z0.binvox,32,0,0,1.0,0.0,0.33348367,0.007586751
toilet,test,toilet_0389.off,toilet_0389_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.2990712,0.011586811
toilet,test,toilet_0349.off,toilet_0349_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20518556,0.0054691983
toilet,test,toilet_0420.off,toilet_0420_32_x0_z0.binvox,32,0,0,0.99917525,0.0,0.088333465,0.0052877706
toilet,test,toilet_0368.off,toilet_0368_32_x0_z0.binvox,32,0,0,1.0,0.0,0.1788048,0.005581798
toilet,test,toilet_0398.off,toilet_0398_32_x0_z0.binvox,32,0,0,1.0,0.0,0.14687258,0.0045400504
toilet,test,toilet_0357.off,toilet_0357_32_x0_z0.binvox,32,0,0,0.99954504,0.0,0.053098064,0.0022075267
toilet,test,toilet_0381.off,toilet_0381_32_x0_z0.binvox,32,0,0,1.0,0.0,0.2694,0.005292421
toilet,test,toilet_0406.off,toilet_0406_32_x0_z0.binvox,32,0,0,1.0,0.0,0.19763593,0.006279086
toilet,test,toilet_0411.off,toilet_0411_32_x0_z0.binvox,32,0,0,1.0,0.0,0.18316591,0.005173023
toilet,test,toilet_0401.off,toilet_0401_32_x0_z0.binvox,32,0,0,1.0,0.0,0.15750942,0.0049562473
toilet,test,toilet_0444.off,toilet_0444_32_x0_z0.binvox,32,0,0,1.0,0.0,0.19197458,0.005513435
toilet,test,toilet_0442.off,toilet_0442_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.18388644,0.006643441
toilet,test,toilet_0350.off,toilet_0350_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.17262657,0.003361147
toilet,test,toilet_0407.off,toilet_0407_32_x0_z0.binvox,32,0,0,0.99999976,0.0,0.1985585,0.003915428
toilet,test,toilet_0439.off,toilet_0439_32_x0_z0.binvox,32,0,0,0.99998975,0.0,0.16273923,0.006421143
toilet,test,toilet_0431.off,toilet_0431_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21901064,0.0053459397
toilet,test,toilet_0356.off,toilet_0356_32_x0_z0.binvox,32,0,0,0.9999974,0.0,0.29995945,0.004915316
toilet,test,toilet_0424.off,toilet_0424_32_x0_z0.binvox,32,0,0,0.9999355,0.0,0.1309423,0.0034075654
toilet,test,toilet_0355.off,toilet_0355_32_x0_z0.binvox,32,0,0,0.9999937,0.0,0.23835512,0.008694297
toilet,test,toilet_0366.off,toilet_0366_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.19338061,0.007197409
toilet,test,toilet_0409.off,toilet_0409_32_x0_z0.binvox,32,0,0,1.0,0.0,0.13550179,0.0043180976
toilet,test,toilet_0361.off,toilet_0361_32_x0_z0.binvox,32,0,0,1.0,0.0,0.22034262,0.0055959066
toilet,test,toilet_0394.off,toilet_0394_32_x0_z0.binvox,32,0,0,0.99996424,0.0,0.17761044,0.0062427004
toilet,test,toilet_0397.off,toilet_0397_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20969851,0.0056836903
toilet,test,toilet_0436.off,toilet_0436_32_x0_z0.binvox,32,0,0,1.0,0.0,0.19376375,0.0052571413
toilet,test,toilet_0413.off,toilet_0413_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21018347,0.0059187887
toilet,test,toilet_0382.off,toilet_0382_32_x0_z0.binvox,32,0,0,0.99999976,0.0,0.15576835,0.0024102468
toilet,test,toilet_0404.off,toilet_0404_32_x0_z0.binvox,32,0,0,1.0,0.0,0.22540689,0.0051409053
toilet,test,toilet_0372.off,toilet_0372_32_x0_z0.binvox,32,0,0,0.99958855,0.0,0.050362602,0.0026601613
toilet,test,toilet_0395.off,toilet_0395_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.1629532,0.00283929
toilet,test,toilet_0353.off,toilet_0353_32_x0_z0.binvox,32,0,0,0.9999989,1.07851095e-36,0.52283573,0.0059677046
toilet,test,toilet_0441.off,toilet_0441_32_x0_z0.binvox,32,0,0,1.0,0.0,0.18993634,0.0070054377
toilet,train,toilet_0342.off,toilet_0342_32_x0_z0.binvox,32,0,0,0.9999893,0.0,0.26130137,0.005054065
toilet,train,toilet_0133.off,toilet_0133_32_x0_z0.binvox,32,0,0,1.0,0.0,0.19586556,0.0061203246
toilet,train,toilet_0050.off,toilet_0050_32_x0_z0.binvox,32,0,0,0.99999297,0.0,0.14260787,0.0059993267
toilet,train,toilet_0117.off,toilet_0117_32_x0_z0.binvox,32,0,0,0.9999709,0.0,0.122153,0.0050575417
toilet,train,toilet_0177.off,toilet_0177_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20879157,0.0024548415
toilet,train,toilet_0103.off,toilet_0103_32_x0_z0.binvox,32,0,0,0.9999888,0.0,0.12638974,0.0041863145
toilet,train,toilet_0156.off,toilet_0156_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20628715,0.00569153
toilet,train,toilet_0018.off,toilet_0018_32_x0_z0.binvox,32,0,0,0.99999106,0.0,0.20212972,0.0035471083
toilet,train,toilet_0081.off,toilet_0081_32_x0_z0.binvox,32,0,0,0.999951,0.0,0.035379376,0.0022498046
toilet,train,toilet_0234.off,toilet_0234_32_x0_z0.binvox,32,0,0,0.9998658,0.0,0.04743981,0.0010571925
toilet,train,toilet_0091.off,toilet_0091_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.15495871,0.004912028
toilet,train,toilet_0267.off,toilet_0267_32_x0_z0.binvox,32,0,0,1.0,0.0,0.23919946,0.0045380956
toilet,train,toilet_0286.off,toilet_0286_32_x0_z0.binvox,32,0,0,0.99999964,0.0,0.28073272,0.004181303
toilet,train,toilet_0001.off,toilet_0001_32_x0_z0.binvox,32,0,0,1.0,0.0,0.26032323,0.005103023
toilet,train,toilet_0031.off,toilet_0031_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20890038,0.0022916486
toilet,train,toilet_0045.off,toilet_0045_32_x0_z0.binvox,32,0,0,0.99997056,0.0,0.08586923,0.0029703178
toilet,train,toilet_0092.off,toilet_0092_32_x0_z0.binvox,32,0,0,0.99999654,0.0,0.1744454,0.0051746275
toilet,train,toilet_0094.off,toilet_0094_32_x0_z0.binvox,32,0,0,1.0,0.0,0.2001396,0.0055449544
toilet,train,toilet_0185.off,toilet_0185_32_x0_z0.binvox,32,0,0,0.9999068,0.0,0.13192347,0.0044393484
toilet,train,toilet_0272.off,toilet_0272_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21994631,0.006766977
toilet,train,toilet_0167.off,toilet_0167_32_x0_z0.binvox,32,0,0,0.9999956,0.0,0.26620066,0.005632068
toilet,train,toilet_0159.off,toilet_0159_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.33858,0.009930793
toilet,train,toilet_0116.off,toilet_0116_32_x0_z0.binvox,32,0,0,1.0,0.0,0.19712518,0.0057466803
toilet,train,toilet_0115.off,toilet_0115_32_x0_z0.binvox,32,0,0,0.9999994,0.0,0.10431267,0.0026092576
toilet,train,toilet_0021.off,toilet_0021_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21507142,0.004729734
toilet,train,toilet_0080.off,toilet_0080_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.35540146,0.0057601193
toilet,train,toilet_0086.off,toilet_0086_32_x0_z0.binvox,32,0,0,1.0,0.0,0.17569076,0.0051584654
toilet,train,toilet_0338.off,toilet_0338_32_x0_z0.binvox,32,0,0,0.9999995,0.0,0.25827014,0.0073210835
toilet,train,toilet_0113.off,toilet_0113_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21994652,0.006804093
toilet,train,toilet_0138.off,toilet_0138_32_x0_z0.binvox,32,0,0,1.0,0.0,0.19806571,0.0060538566
toilet,train,toilet_0256.off,toilet_0256_32_x0_z0.binvox,32,0,0,1.0,0.0,0.34033343,0.004108389
toilet,train,toilet_0252.off,toilet_0252_32_x0_z0.binvox,32,0,0,0.9999875,0.0,0.1936426,0.006867024
toilet,train,toilet_0069.off,toilet_0069_32_x0_z0.binvox,32,0,0,1.0,0.0,0.23431174,0.0052631246
toilet,train,toilet_0012.off,toilet_0012_32_x0_z0.binvox,32,0,0,0.9999714,0.0,0.15290174,0.0043318556
toilet,train,toilet_0315.off,toilet_0315_32_x0_z0.binvox,32,0,0,0.99999845,0.0,0.2221202,0.008897373
toilet,train,toilet_0011.off,toilet_0011_32_x0_z0.binvox,32,0,0,0.99999905,0.0,0.342859,0.0033457088
toilet,train,toilet_0085.off,toilet_0085_32_x0_z0.binvox,32,0,0,0.9999987,0.0,0.14621928,0.0034010005
toilet,train,toilet_0150.off,toilet_0150_32_x0_z0.binvox,32,0,0,0.9999994,1.4807596e-30,0.44530734,0.0048449794
toilet,train,toilet_0097.off,toilet_0097_32_x0_z0.binvox,32,0,0,0.9999975,0.0,0.23086703,0.0035405618
toilet,train,toilet_0043.off,toilet_0043_32_x0_z0.binvox,32,0,0,1.0,0.0,0.14709139,0.0068693496
toilet,train,toilet_0232.off,toilet_0232_32_x0_z0.binvox,32,0,0,0.99991095,0.0,0.11727451,0.0048061367
toilet,train,toilet_0101.off,toilet_0101_32_x0_z0.binvox,32,0,0,0.9984915,0.0,0.074520245,0.0038199937
toilet,train,toilet_0247.off,toilet_0247_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.2428153,0.0037262298
toilet,train,toilet_0344.off,toilet_0344_32_x0_z0.binvox,32,0,0,0.99999964,0.0,0.2311571,0.0052160984
toilet,train,toilet_0083.off,toilet_0083_32_x0_z0.binvox,32,0,0,1.0,0.0,0.1955333,0.004064364
toilet,train,toilet_0064.off,toilet_0064_32_x0_z0.binvox,32,0,0,0.9998995,0.0,0.079735875,0.0024358514
toilet,train,toilet_0016.off,toilet_0016_32_x0_z0.binvox,32,0,0,0.99999785,0.0,0.1874796,0.0021020293
toilet,train,toilet_0152.off,toilet_0152_32_x0_z0.binvox,32,0,0,1.0,0.0,0.1945724,0.004819315
toilet,train,toilet_0074.off,toilet_0074_32_x0_z0.binvox,32,0,0,0.9999993,0.0,0.31304988,0.005173877
toilet,train,toilet_0235.off,toilet_0235_32_x0_z0.binvox,32,0,0,0.9999993,0.0,0.18469203,0.006047153
toilet,train,toilet_0310.off,toilet_0310_32_x0_z0.binvox,32,0,0,0.99999404,0.0,0.15456259,0.005558314
toilet,train,toilet_0201.off,toilet_0201_32_x0_z0.binvox,32,0,0,0.9999757,0.0,0.27516496,0.005846806
toilet,train,toilet_0298.off,toilet_0298_32_x0_z0.binvox,32,0,0,0.9999722,0.0,0.13746989,0.0035328716
toilet,train,toilet_0330.off,toilet_0330_32_x0_z0.binvox,32,0,0,0.99999905,6.1807295e-33,0.3591947,0.003077589
toilet,train,toilet_0204.off,toilet_0204_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.39396074,0.010645557
toilet,train,toilet_0320.off,toilet_0320_32_x0_z0.binvox,32,0,0,0.99999964,0.0,0.33127427,0.0063711135
toilet,train,toilet_0015.off,toilet_0015_32_x0_z0.binvox,32,0,0,0.99999774,0.0,0.20783725,0.0053723794
toilet,train,toilet_0266.off,toilet_0266_32_x0_z0.binvox,32,0,0,0.99999714,0.0,0.12557468,0.0023629353
toilet,train,toilet_0222.off,toilet_0222_32_x0_z0.binvox,32,0,0,0.9997191,0.0,0.10182293,0.0042917496
toilet,train,toilet_0174.off,toilet_0174_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20663808,0.005520452
toilet,train,toilet_0305.off,toilet_0305_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.17063236,0.004280414
toilet,train,toilet_0271.off,toilet_0271_32_x0_z0.binvox,32,0,0,0.9999932,0.0,0.17298046,0.0046284487
toilet,train,toilet_0341.off,toilet_0341_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21386367,0.0019994264
toilet,train,toilet_0102.off,toilet_0102_32_x0_z0.binvox,32,0,0,0.999998,0.0,0.12550974,0.005686179
toilet,train,toilet_0290.off,toilet_0290_32_x0_z0.binvox,32,0,0,0.9999993,0.0,0.2674328,0.0052453075
toilet,train,toilet_0297.off,toilet_0297_32_x0_z0.binvox,32,0,0,0.999998,0.0,0.3097217,0.004869963
toilet,train,toilet_0155.off,toilet_0155_32_x0_z0.binvox,32,0,0,1.0,0.0,0.2144084,0.0047935657
toilet,train,toilet_0319.off,toilet_0319_32_x0_z0.binvox,32,0,0,0.9998658,0.0,0.09445599,0.0032443977
toilet,train,toilet_0135.off,toilet_0135_32_x0_z0.binvox,32,0,0,0.9999945,0.0,0.117365144,0.0039733024
toilet,train,toilet_0154.off,toilet_0154_32_x0_z0.binvox,32,0,0,1.0,0.0,0.4180946,0.0064449175
toilet,train,toilet_0088.off,toilet_0088_32_x0_z0.binvox,32,0,0,0.99974865,0.0,0.083291605,0.0039949343
toilet,train,toilet_0073.off,toilet_0073_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.13441062,0.0037635167
toilet,train,toilet_0325.off,toilet_0325_32_x0_z0.binvox,32,0,0,0.999959,0.0,0.1067473,0.0042118453
toilet,train,toilet_0037.off,toilet_0037_32_x0_z0.binvox,32,0,0,0.99998736,0.0,0.17738166,0.0069439267
toilet,train,toilet_0053.off,toilet_0053_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.25567248,0.006208034
toilet,train,toilet_0242.off,toilet_0242_32_x0_z0.binvox,32,0,0,0.99999654,0.0,0.13705434,0.0033597723
toilet,train,toilet_0134.off,toilet_0134_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.27850354,0.004720567
toilet,train,toilet_0248.off,toilet_0248_32_x0_z0.binvox,32,0,0,1.0,0.0,0.15004098,0.0047833435
toilet,train,toilet_0326.off,toilet_0326_32_x0_z0.binvox,32,0,0,0.99998415,0.0,0.17113058,0.0033991465
toilet,train,toilet_0289.off,toilet_0289_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.19903399,0.0046843453
toilet,train,toilet_0219.off,toilet_0219_32_x0_z0.binvox,32,0,0,1.0,0.0,0.16596541,0.003428727
toilet,train,toilet_0079.off,toilet_0079_32_x0_z0.binvox,32,0,0,0.99999774,1.5620676e-38,0.356499,0.005830066
toilet,train,toilet_0121.off,toilet_0121_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21113123,0.004709444
toilet,train,toilet_0123.off,toilet_0123_32_x0_z0.binvox,32,0,0,0.9999151,0.0,0.10265755,0.0042011095
toilet,train,toilet_0227.off,toilet_0227_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20919347,0.004584673
toilet,train,toilet_0022.off,toilet_0022_32_x0_z0.binvox,32,0,0,1.0,0.0,0.22139019,0.0037010019
toilet,train,toilet_0077.off,toilet_0077_32_x0_z0.binvox,32,0,0,0.9999994,0.0,0.20850924,0.004044567
toilet,train,toilet_0163.off,toilet_0163_32_x0_z0.binvox,32,0,0,0.9999993,0.0,0.36579958,0.003620617
toilet,train,toilet_0317.off,toilet_0317_32_x0_z0.binvox,32,0,0,1.0,0.0,0.23532717,0.005119562
toilet,train,toilet_0216.off,toilet_0216_32_x0_z0.binvox,32,0,0,1.0,0.0,0.209726,0.004981046
toilet,train,toilet_0119.off,toilet_0119_32_x0_z0.binvox,32,0,0,0.9999964,0.0,0.16167259,0.0036296723
toilet,train,toilet_0132.off,toilet_0132_32_x0_z0.binvox,32,0,0,0.9994875,0.0,0.09301684,0.004078122
toilet,train,toilet_0093.off,toilet_0093_32_x0_z0.binvox,32,0,0,0.99999964,0.0,0.3017731,0.0050539346
toilet,train,toilet_0114.off,toilet_0114_32_x0_z0.binvox,32,0,0,1.0,0.0,0.23806992,0.005874948
toilet,train,toilet_0183.off,toilet_0183_32_x0_z0.binvox,32,0,0,1.0,0.0,0.18587187,0.00534919
toilet,train,toilet_0108.off,toilet_0108_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21778396,0.004417611
toilet,train,toilet_0196.off,toilet_0196_32_x0_z0.binvox,32,0,0,0.9999918,0.0,0.10716495,0.0028963736
toilet,train,toilet_0309.off,toilet_0309_32_x0_z0.binvox,32,0,0,0.99999297,0.0,0.12260088,0.003188999
toilet,train,toilet_0062.off,toilet_0062_32_x0_z0.binvox,32,0,0,0.9999995,0.0,0.2622912,0.0076467246
toilet,train,toilet_0209.off,toilet_0209_32_x0_z0.binvox,32,0,0,0.9999989,0.0,0.23860317,0.0068790535
toilet,train,toilet_0292.off,toilet_0292_32_x0_z0.binvox,32,0,0,1.0,0.0,0.18719591,0.0054842182
toilet,train,toilet_0223.off,toilet_0223_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.18102874,0.007066131
toilet,train,toilet_0157.off,toilet_0157_32_x0_z0.binvox,32,0,0,0.99999774,0.0,0.3790313,0.004307353
toilet,train,toilet_0028.off,toilet_0028_32_x0_z0.binvox,32,0,0,1.0,0.0,0.45382938,0.003694344
toilet,train,toilet_0110.off,toilet_0110_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21730518,0.004956172
toilet,train,toilet_0284.off,toilet_0284_32_x0_z0.binvox,32,0,0,0.9999995,0.0,0.1505098,0.0038878685
toilet,train,toilet_0186.off,toilet_0186_32_x0_z0.binvox,32,0,0,1.0,0.0,0.38991478,0.0052032378
toilet,train,toilet_0273.off,toilet_0273_32_x0_z0.binvox,32,0,0,0.9999989,0.0,0.14445508,0.00324665
toilet,train,toilet_0148.off,toilet_0148_32_x0_z0.binvox,32,0,0,1.0,0.0,0.23992293,0.0032200213
toilet,train,toilet_0276.off,toilet_0276_32_x0_z0.binvox,32,0,0,0.99999964,0.0,0.1543268,0.0011863874
toilet,train,toilet_0131.off,toilet_0131_32_x0_z0.binvox,32,0,0,0.9999993,0.0,0.2637772,0.0057561873
toilet,train,toilet_0299.off,toilet_0299_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20648594,0.00448063
toilet,train,toilet_0203.off,toilet_0203_32_x0_z0.binvox,32,0,0,0.9999993,0.0,0.17696674,0.004256785
toilet,train,toilet_0333.off,toilet_0333_32_x0_z0.binvox,32,0,0,0.9999924,0.0,0.25981098,0.005139349
toilet,train,toilet_0312.off,toilet_0312_32_x0_z0.binvox,32,0,0,0.9999702,0.0,0.06449231,0.0023396905
toilet,train,toilet_0279.off,toilet_0279_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21788076,0.00521991
toilet,train,toilet_0169.off,toilet_0169_32_x0_z0.binvox,32,0,0,0.9999988,0.0,0.2405471,0.0064343344
toilet,train,toilet_0202.off,toilet_0202_32_x0_z0.binvox,32,0,0,0.9999987,0.0,0.18376704,0.0044054026
toilet,train,toilet_0026.off,toilet_0026_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20003964,0.0073380894
toilet,train,toilet_0141.off,toilet_0141_32_x0_z0.binvox,32,0,0,0.9999969,0.0,0.27294213,0.007942006
toilet,train,toilet_0287.off,toilet_0287_32_x0_z0.binvox,32,0,0,1.0,0.0,0.18555884,0.004374925
toilet,train,toilet_0251.off,toilet_0251_32_x0_z0.binvox,32,0,0,0.99999964,0.0,0.2582812,0.008294838
toilet,train,toilet_0308.off,toilet_0308_32_x0_z0.binvox,32,0,0,0.9997683,0.0,0.1040435,0.0032913405
toilet,train,toilet_0322.off,toilet_0322_32_x0_z0.binvox,32,0,0,0.999987,0.0,0.27140313,0.009130755
toilet,train,toilet_0270.off,toilet_0270_32_x0_z0.binvox,32,0,0,0.9999813,0.0,0.102036186,0.0040843603
